Redshift, Peak Luminosity, Isotropic Energy Catalog
        1194 Bursts
Burst #   z     L_B       E_iso
 6306   1.691    17.999    38.755
 6308   0.932     1.001     0.695
 6309   0.613     0.412     2.255
 6317   1.461     4.435     4.517
 6319   2.219    14.835    31.574
 6320   1.922    12.201    38.669
 6321   1.653    26.672    31.413
 6322   3.487   137.014    35.183
 6323   2.254    17.766    23.837
 6328   0.786     0.485     6.064
 6329   1.464    38.993   254.678
 6335   0.748     3.656    21.686
 6336   0.179     0.942     4.399
 6339   4.279   170.158   228.979
 6345   1.598     3.448     3.532
 6346   0.494     0.209     6.519
 6349   1.201     7.105   210.063
 6353   1.613    16.537   195.631
 6355   1.059     0.943     9.015
 6366   1.172     1.828    66.204
 6369   4.671    50.819   100.875
 6375   1.837     8.271    14.571
 6380   3.503   108.200   697.600
 6388   1.135     2.309     7.545
 6390   2.939   216.718   403.177
 6393   2.842    20.177     5.731
 6396   0.784     0.950     4.547
 6397   0.575     3.048    17.994
 6399   7.340   385.161   111.470
 6400   1.481    26.122    20.570
 6405   1.123     1.611    10.223
 6414   0.425     0.553    11.803
 6419   1.464     3.453     6.051
 6422   0.851    11.316    12.695
 6437   1.694     6.024     3.252
 6440   1.573    15.710    23.212
 6444   1.066     1.006     4.490
